epoch, train_loss_D, train_loss_G,train_Acc, val_Acc, cm00, cm01, cm02, cm10, cm11, cm12, cm20, cm21, cm22
0, 2.986687, 0.180272, 0.344444, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
1, 3.663621, 1.923311, 0.355556, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
2, 3.715284, 1.392367, 0.377778, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
3, 3.324872, 0.616336, 0.322222, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
4, 3.082106, 0.120303, 0.400000, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
5, 3.020989, 0.107054, 0.366667, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
6, 3.102111, 0.113292, 0.377778, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
7, 3.042367, 0.124481, 0.344444, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
8, 2.935301, 0.074348, 0.433333, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
9, 2.940219, 0.127283, 0.433333, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
10, 3.006956, 0.117932, 0.422222, 0.318519, 43.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
11, 2.924635, 0.063360, 0.344444, 0.311111, 42.000000, 2.000000, 0.000000, 1.000000, 0.000000, 0.000000, 86.000000, 4.000000, 0.000000
