source_name,title,url,date,content
The Boston Globe,Magnitude 5.1 earthquake strikes North Carolina and is felt hundreds of miles away,https://www.bostonglobe.com/2020/08/09/nation/magnitude-51-earthquake-strikes-north-carolina-is-felt-hundreds-miles-away/,2020-08-09,"A preliminary magnitude 5.1 earthquake occurred near Sparta in northwestern North Carolina at 8:07 a.m. Sunday, near the Virginia border. The quake rattled the Carolina Piedmont, but was reportedly f… [+3161 chars]"
Boston Herald,5.1-magnitude quake hits North Carolina; no damage reported,https://www.bostonherald.com/2020/08/09/5-1-magnitude-quake-hits-north-carolina-no-damage-reported/,2020-08-09,"SPARTA, N.C. (AP) The most powerful earthquake to hit North Carolina in more than 100 years shook much of the state early Sunday, rattling homes, businesses and residents.
The National Weather Servi… [+1487 chars]"
Boston Herald,"5.1-magnitude quake hits North Carolina, causes minor damage",https://www.bostonherald.com/2020/08/09/5-1-magnitude-quake-hits-north-carolina-causes-minor-damage/,2020-08-09,"SPARTA, N.C. (AP) — The most powerful earthquake to hit North Carolina in more than 100 years shook much of the state early Sunday, rattling homes, businesses and residents.
The National Weather Ser… [+1648 chars]"
Boston Herald,"5.1-magnitude quake hits North Carolina, causes minor damage",https://www.bostonherald.com/2020/08/09/5-1-magnitude-quake-hits-north-carolina-causes-minor-damage-2/,2020-08-09,"SPARTA, N.C. The most powerful earthquake to hit North Carolina in more than 100 years shook much of the state early Sunday, rattling homes, businesses and residents.
The National Weather Service in… [+1577 chars]"
Yahoo Entertainment,5.1-magnitude quake hits North Carolina; no damage reported,https://news.yahoo.com/earthquake-rattles-north-carolina-no-131543080.html,2020-08-09,"SPARTA, N.C. (AP) Officials say an earthquake - the strongest in more than 100 years - shook much of North Carolina early Sunday, rattling homes, buildings and residents.
The National Weather Servic… [+716 chars]"
TheGrio,5.1-magnitude quake hits North Carolina; no damage reported,http://thegrio.com/2020/08/09/quake-hits-north-carolina/,2020-08-09,"It was the largest earthquake to hit the state since 1916.
Various items litter the floor of the 4 Brothers Store in Sparta, N.C. after an earthquake shook much of North Carolina early Sunday, Aug. … [+2118 chars]"
The Indian Express,"5.1-magnitude quake hits North Carolina, causes minor damage",https://indianexpress.com/article/world/5-1-magnitude-quake-hits-north-carolina-causes-minor-damage-6548390/,2020-08-10,"By: AP | 
Published: August 10, 2020 11:22:12 am
Various items litter the floor of the 4 Brothers Store in Sparta, N.C. after an earthquake shook much of North Carolina early Sunday, Aug. 9, 2020. … [+1971 chars]"
The Washington Post,"Magnitude 5.1 earthquake strikes North Carolina, felt hundreds of miles away",https://www.washingtonpost.com/weather/2020/08/09/north-carolina-earthquake/,2020-08-09,"Remembering the 2011 Virginia earthquake that rocked the Eastern U.S.
Reports of damage were spotty. John Paul, a reporter for WSOC-TV, a television affiliate in Charlotte, tweeted: An employee at t… [+2558 chars]"
NBC News,5.1 earthquake shakes North Carolina and Southeast,https://www.nbcnews.com/nightly-news/video/5-1-earthquake-shakes-north-carolina-and-southeast-89822277625,2020-08-09,
The Hindu,"5.1-magnitude quake hits North Carolina, causes minor damage",https://www.thehindu.com/news/international/51-magnitude-quake-hits-north-carolina-causes-minor-damage/article32313280.ece,2020-08-09,"The most powerful earthquake to hit North Carolina in more than 100 years shook much of the state early on August 9, rattling homes, businesses and residents.
The National Weather Service in Greenvi… [+1573 chars]"
USA Today,"North Carolina, Virginia rocked by most powerful earthquake in region since 1916",https://www.usatoday.com/story/news/nation/2020/08/09/earthquake-n-c-state-hit-strongest-temblor-since-1916/3329956001/,2020-08-09,"Breaking news
 (Photo: USA TODAY)
A magnitude 5.1 earthquake along North Carolina's border with Virginia on Sunday shook homes and rattled dishes as far away as Atlanta.
No serious damage or injur… [+1414 chars]"
Stars and Stripes,5.1-magnitude earthquake hits North Carolina; no damage reported,https://www.stripes.com/news/us/5-1-magnitude-earthquake-hits-north-carolina-no-damage-reported-1.640633?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+starsandstripes%2Fgeneral+%28Stars+and+Stripes%29,2020-08-09,"SPARTA, N.C. Officials say an earthquake the strongest in more than 100 years shook much of North Carolina early Sunday, rattling homes, buildings and residents.
The National Weather Service in Gree… [+688 chars]"
