user,location,date,coordinates,content
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 19:21:20,,"A M4.8 earthquake has been reported by the BMKG for Mindanao, Philippines. Link: https://t.co/uvJVkmI6cM"
BrainstormBot,Italy,2019-12-17 19:17:15,,"❗ LINOG PASIDAAN / LINDOL BABALA / EARTHQUAKE WARNING for Mindanao, Philippines — follow for updates (Twitter)"
EQAlerts,,2019-12-17 18:50:27,,"#Earthquake M3.2 002 km S 34° W of Kiblawan (Davao Del Sur) (Philippines) 9mins ago 17 Dec 18:41 UTC - report/i...
https://t.co/DFsuESTMwW"
nononui,,2019-12-17 18:31:59,,Powerful earthquake of magnitude 6.8 strikes near Philippines city https://t.co/eXrBeABP8i
DrStubblefield,"Orcutt, CA",2019-12-17 18:29:58,,"Watch ""12/15/2019 -- Large M6.9 (M6.8) earthquake in Philippines West Pacific -- Warned country hit"" on YouTube https://t.co/I0WlRSKWHs"
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 18:25:59,,#Earthquake (#lindol) M3.6 strikes 39 km NE of #Koronadal (#Philippines) 12 min ago. More info: https://t.co/dwuABMzgRX
DrStubblefield,"Orcutt, CA",2019-12-17 18:25:48,,"Watch ""Electric Cables Spark As Earthquake Hits Philippines"" on YouTube https://t.co/XPARRUYIz1"
FSULutheran,"Tallahassee, FL",2019-12-17 18:06:04,,Pray with us:  For victims and families of earthquake victims in southern Philippines
DrStubblefield,"Orcutt, CA",2019-12-17 17:56:44,,"Watch ""Southern Philippines hit by 6.8 magnitude earthquake | AFP"" on YouTube https://t.co/iLyCQszbZ3"
jmacfan1,"Norman, OK",2019-12-17 17:38:46,,Fatal earthquake in the Philippines 😳 Thank god that didn’t happen when Jesse was there
Ruthsgd35,Dayton Ohio USA,2019-12-17 17:36:16,,Crews Search for Survivors After Strong Earthquake Rocks Philippines | The Weather Channel https://t.co/qIxxxPzffb
Christisourhop1,,2019-12-17 17:35:48,,"https://t.co/YJ4dfx76Th
Major Earthquake in the Philippines. Several have died. Pray for the families."
DINAHTO16725596,,2019-12-17 17:06:54,,South Philippines earthquake: Rescuers race to find survivors #Topbuzz https://t.co/H1i217ksrE
SteveBowenWx,"Chicago, IL",2019-12-17 16:58:44,,"A M6.8 earthquake has left 10 people dead or missing, and damaged roughly 15,000 homes &amp; other structures in the… https://t.co/pleiYhoY1c"
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 16:46:11,,#Earthquake (#lindol) M3.9 strikes 29 km W of General Santos (#Philippines) 16 min ago. More info: https://t.co/Cerptw7WUk
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 16:41:21,,"A M4.6 earthquake has been reported by the BMKG for Mindanao, Philippines. Link: https://t.co/uvJVkmI6cM"
marieSG19,Awesome Planet Earth,2019-12-17 16:38:48,,"Bf: Did you hear about the earthquake in the Philippines? It's in Davao and Soccsksargen regions. 

Soccsksargen so… https://t.co/aifTMvCffv"
NewsObservatory,Worldwide,2019-12-17 16:34:37,,The death toll from the earthquake that hit the southern Philippines increased to three https://t.co/NdxfLbb5sA https://t.co/FmKLH13opS
marchee7,Bruxelles,2019-12-17 16:17:44,,#ERCC #DailyMap ECHO Daily Map of 17 December 2019 Philippines | 6.8M Earthquake of 15 December… https://t.co/AzYPNVHsm7
alyasmaldito,Davao X Sto. Tomas,2019-12-17 16:17:36,,"""Nevertheless, the four temblors and their aftershocks are clearly signaling that something is going on that merits… https://t.co/VzT9JUFESX"
GlobalCrisis20,"Eindhoven, the Netherlands",2019-12-17 16:13:09,,Video: South Philippines earthquake: Rescuers race to find survivors (Al Jazeera videos) https://t.co/kgVUOoHBtC
GlobalCrisis20,"Eindhoven, the Netherlands",2019-12-17 16:10:27,,South Philippines earthquake: Rescuers race to find survivors (Al Jazeera) https://t.co/RJp0fkN2iM
Anythingunpopu1,Elfiador,2019-12-17 15:58:42,,As you all know recently Super Junior members sent their prayers for the people affected by the 6.9 magnitude earth… https://t.co/Bwsc9VWefu
danwibg,DC/Cape Town,2019-12-17 15:55:52,,South Philippines earthquake: Rescuers race to find survivors @AJENews  https://t.co/JnMfoVrRGp #Philippines
CopernicusEMS,European Commission,2019-12-17 15:53:19,,#ERCC #DailyMap: 2019-12-17 ⦙ Philippines | 6.8M Earthquake of 15 December ▸https://t.co/Jtf87x5me2 https://t.co/0cp3Md2fUN
zufallcharlotte,,2019-12-17 15:43:45,,"Thoughts and prayers to those in the region of the PHILIPPINES affected by the recent earthquake, may rescue efforts be expeditious."
keisv,"Metro Manila, Philippines",2019-12-17 15:15:45,,Very fascinating read: Four large quakes in two months jolt southern Philippines https://t.co/RwlomEhBFH
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 15:11:19,,"A M4.7 earthquake has been reported by the BMKG for Mindanao, Philippines. Link: https://t.co/uvJVkmI6cM"
Ruptly,"Berlin, Germany",2019-12-17 15:05:01,,Cleanup operation ongoing as #earthquake victims sheltered in camps in #Philippines https://t.co/nNYTVQbbTJ
MiracleNinja777,United States,2019-12-17 14:47:38,,Aftershocks hamper earthquake rescue | https://t.co/dbmg8XjZky - https://t.co/GgbSAGNjLc via @philstarnews #Philippines #Earthquake
kwttoday,Kuwait,2019-12-17 14:45:00,,"Earthquake with 6.8 magnitude hits in Philippines, no tsunami threat are reported https://t.co/K6tt2hwWNG"
GardaWorldC24,Worldwide,2019-12-17 14:39:38,,"Philippines: Death toll from Mindanao Earthquake rises to eight December 17 /update 3
https://t.co/5JMCebIXbB"
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 14:31:04,,#Earthquake (#lindol) M3.5 strikes 35 km NE of #Koronadal (#Philippines) 11 min ago. More info: https://t.co/4e1plSWo3o
EQAlerts,,2019-12-17 14:30:42,,"#Earthquake M3.5 009 km S 88° W of Kiblawan (Davao Del Sur) (Philippines) 17 Dec 14:19 UTC - report/info: 
https://t.co/TeFNJIjpkc"
TheLazyM0nkey,"Amsterdam, Nederland",2019-12-17 14:21:15,,"That moment that I got worried, because there was a earthquake in the philippines... My dad's alright 😭!"
StillettoBlade1,"Cleveland, OH",2019-12-17 13:59:07,,Philippines on alert for tropical threat following powerful earthquake https://t.co/QbZChP2cvn
nightingalern,,2019-12-17 13:14:45,,Philippines on alert for tropical threat following powerful earthquake | AccuWeather https://t.co/0brYj8Swty
rolanstore,CEBU-PHILIPPINES,2019-12-17 13:12:19,,People Rush for Cover as Earthquake Rocks Davao City in the Philippines https://t.co/b2DP8BLtSR via @yahooph #rolanstore
baba_vardaani,India,2019-12-17 12:59:03,,"Horrified big one #earthquake soon.. north Pacific ocean 

⚫ #Peru chili argentina Ecuador moderate earthquake/s
⚫… https://t.co/GgrBf4ft7q"
thegreatwalllll,Joseon,2019-12-17 12:56:40,,"When Antichrist or Dajjal came out, people be like. 
""Is that the Messiah of Netflix? ""
:Pastor Quiboloy be like
""A… https://t.co/9szyxSjt9Y"
_hozint,Brussels,2019-12-17 12:49:08,,"[UPDATE] 7 dead, 86 injured by magnitude 6.8 earthquake in Davao del Sur, Mindanao #philippines #naturaldisaster… https://t.co/pjosFT7nve"
LucianoOlivares,,2019-12-17 12:35:19,,"#Sismo #Earthquake #PrevencionFF M 4.9 - 6km W of Kiblawan, Philippines
https://t.co/iq7wnn8dNW"
JaganasMarvin,"Davao City, Davao Region",2019-12-17 11:47:23,,THE 6.3 tulunan earthquake is the start of our journey. We still have more earthquakes to encounter but the most da… https://t.co/Eu63v4enIf
OCHAPhilippines,Philippines,2019-12-17 11:22:03,,"A 6.9-magnitude earthquake in the Philippines 🇵🇭
Heavy monsoon rains in Malaysia 🇲🇾
Armed conflict in Myanmar 🇲🇲 an… https://t.co/ZYOFIqrByP"
rajeevbhaskarht,,2019-12-17 11:10:49,,Toll from earthquake in southern Philippines rises to 8: https://t.co/whP6LuoenU
Recall369,Michigan,2019-12-17 10:51:50,,Philippines on alert for tropical threat following powerful earthquake – https://t.co/fVOvsHEWJb https://t.co/5v8NaDOhxQ
sonia93122009,Washington DC,2019-12-17 10:44:16,,"Searchers Try to Find Earthquake Victims in Philippines - The New York Times ,https://t.co/ci3cqTjbQJ https://t.co/Un4Sh5tHVp"
Alan_Mark_,"New South Wales, Australia",2019-12-17 10:42:39,,Reminds me Duterte of the Philippines 🇵🇭 going back to sleep in his hometown after an earthquake devastated his are… https://t.co/yuhsjh41m0
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 10:31:01,,#Earthquake (#lindol) M3.5 strikes 35 km NE of #Koronadal (#Philippines) 16 min ago. More info: https://t.co/RtC4XWmZxW
OCHAAsiaPac,Bangkok,2019-12-17 10:16:50,,"6.9-magnitude earthquake strikes in Mindanao #Philippines 🇵🇭, displacing 50,000 people.

9,000 people evacuated aft… https://t.co/x16aKvE5PT"
VOAStevenson,Washington DC,2019-12-17 10:06:53,,"President Duterte was caught up in the earthquake but was unharmed.

https://t.co/NfXQdCHZ51 @yahoosg"
baba_vardaani,India,2019-12-17 10:04:04,,"#Fiji 7± M earthquake soon..
#Philippines moderate or big one #Gempa #EarthquakePH soon..#FijiNews
#Argentina moder… https://t.co/7FbGzObSdB"
epo_de,Berlin,2019-12-17 09:59:18,,South Philippines earthquake: Rescuers race to find survivors @AJENews  https://t.co/DqZbRYKjq1
StewienKevin,Ireland Proud South African,2019-12-17 09:59:00,,"Warned by Kevin Stewien 2004, do not fear death!

South African researcher and developer of the quantum physics dis… https://t.co/aKb1xzwmL0"
UcanewsOrg,,2019-12-17 09:46:55,,"At least six churches in Digos Diocese reported badly damages, death toll expected to rise
#Environment… https://t.co/z1hR8t0dHB"
sonia93122009,Washington DC,2019-12-17 09:44:19,,"Philippines hunts for survivors after earthquake levels building - Al Jazeera English ,https://t.co/ci3cqTjbQJ https://t.co/J2JlcPagXc"
dev_discourse,National Capital Region,2019-12-17 09:22:11,,Toll from #earthquake in southern #Philippines rises to 8 https://t.co/0nwWv4MBSa
MiddleEastTon,Pakistan,2019-12-17 09:13:08,,South Philippines earthquake: Rescuers race to find survivors https://t.co/vtUzCFLhLu
accuweather,"State College, PA",2019-12-17 09:10:00,,Total rainfall of 75-150 mm (3-6 inches) is expected across much of Mindanao through this weekend with an AccuWeath… https://t.co/wzxMDsslCd
robinsnewswire,RT's Are FYI Purposes Only,2019-12-17 08:57:38,,"WorldView: New Zealand volcano investigation, Philippines earthquake, and more https://t.co/hNBxG09IuM #Earthquake"
