user,location,date,coordinates,content
YasminaBush,,2020-01-08 19:45:22,,"@realDonaldTrump 
Donald, what, if anything, are you doing to help our citizens in Puerto Rico deal with the recent… https://t.co/NqGMkrih6l"
WSJ,"New York, NY",2020-01-08 19:45:07,,Most of Puerto Rico remains without power as earthquake aftershocks continue https://t.co/T7tJtt7xd9
wallyreyesjr,,2020-01-08 19:44:10,,Puerto Rico has been able to use some of the more than $3.7 billion the federal government disbursed through the Fe… https://t.co/DD1awYD9Mt
airrakenn,Taguig City,2020-01-08 19:43:46,,"Bushfire in Australia, tension between the US and Iran, earthquake in Puerto Rico, Volcanic activities worldwide 😭… https://t.co/RWK4KGk5iQ"
QSimpleAnswers,,2020-01-08 19:43:30,,"@CascadianSolo We are distracted while the nature of warfare changes. 

6.4 Earthquake in Puerto Rico on 1/7/20 at… https://t.co/gGBxrTSWJ6"
McArtichoke,"New York, NY",2020-01-08 19:43:25,,Puerto Rico reels from earthquake while Trump administration continues to illegally withhold aid https://t.co/AC4ZVtFdVK
Keith_Event,,2020-01-08 19:43:10,,"I think Event: Earthquake has occurred in Puerto Rico
Wed Jan  8 13:40:28 2020 CDT https://t.co/RXLeIlw1zB"
AmuletSacred,"Puerto Rico, USA",2020-01-08 19:42:38,,Sorry for being MIA. We got hit by a 6.6 earthquake and the day before that an 5.8 one and the earth is still movin… https://t.co/b2ZsQgq6Zd
NEWZFOX,GOLDEN TRIANGLE,2020-01-08 19:42:13,,Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/WFoczSBlUT via @YahooCanada
BrightOne26,,2020-01-08 19:41:58,,ALERT!~ANOTHER GIANT EARTHQUAKE SLAMS PUERTO RICO(!)*CRITICAL INFORMATIO... https://t.co/ZWrb9fJT7w via @YouTube
FireandAviation,TEXAS,2020-01-08 19:41:45,,Puerto Rico slow to bring back electricity after powerful earthquake https://t.co/d5aPvILm3o
dubvNOW,"Morgantown, WV",2020-01-08 19:41:16,,"Puerto Rico earthquakes 'so much worse' than Hurricane Maria, some residents say https://t.co/xSSV0XgYqj https://t.co/VEdGIzQFqW"
Gail16248770,On a Beach somewhere...,2020-01-08 19:41:14,,@HeisRisen14 The earthquake is in Puerto Rico.
rslashnews,The Internet,2020-01-08 19:40:51,,Puerto Rico slowly brings back electricity after powerful earthquake - https://t.co/ACQxiURZmA
TennIowa,,2020-01-08 19:40:36,,"@marcorubio @POTUS Has your Dear Leader said a word about Puerto Rico earthquake?
paper towels? anything?"
MimisSewing,"Layton, Utah",2020-01-08 19:40:10,,One hit in Puerto Rico too. https://t.co/yCH4qaM8ao
News1English,,2020-01-08 19:40:00,,The Puerto Rico earthquake destroyed the iconic Punta Ventana https://t.co/rUwWyv03fe
clakor54,"Virginia Beach, Va. ",2020-01-08 19:39:53,,"Again, @realDonaldTrump will demean Puerto Rico because of the earthquake that hit them. He will blame them for the… https://t.co/OpwUreMXhk"
anthemhayek,"Texas, USA",2020-01-08 19:39:37,,"Puerto Rico 🇵🇷 🌎 earthquake quake relief:
https://t.co/LadJqXU9xT
#PuertoRico"
InQuestionRT,"Washington, DC",2020-01-08 19:39:23,,"1 dead, blackout triggered after earthquake in Puerto Rico. #QuestionMore https://t.co/ZCdNetRmTv"
fefquest,Vermont,2020-01-08 19:39:17,,@HYENABLOOD Don’t forget Puerto Rico just suffered an earthquake and we’re not even done recovering from hurricane… https://t.co/diKtCvpG2I
MORALGECS,18 | no tw | ma,2020-01-08 19:38:53,,pray for puerto rico!!! they havent even really recovered from the hurricane now a 6+ mag earthquake
valentin10,"Draveil, near Paris (France)",2020-01-08 19:38:40,,Power Outage Affects Two-Thirds of Puerto Rico After Earthquake https://t.co/VM2ImP3GuI
ghostwriterREAL,South Miami/Pinecrest FL,2020-01-08 19:37:21,,"Much of Puerto Rico still without power after worst earthquake in a century 

https://t.co/QUhGekHVQt"
futureofinfo,,2020-01-08 19:37:19,,Much of Puerto Rico still without power after worst earthquake in a century https://t.co/PCbjhLVVGU
JuanFrontera,"Cayey, Puerto Rico",2020-01-08 19:36:34,,Power Outage Affects Two-Thirds of Puerto Rico After Earthquake https://t.co/vthtnFak6Z
YubaNet,"Nevada City, CA",2020-01-08 19:34:57,,California Sends Urban Search and Rescue Team Members to Support Emergency Response to Earthquake in Puerto Rico vi… https://t.co/wxwRtUCfdA
RedCedarWoman,"Arnprior, Ontario, Canada",2020-01-08 19:34:55,,State of emergency in Puerto Rico after deadly earthquake https://t.co/1UbNJ834T7
gridpointwx,"New York, USA",2020-01-08 19:34:25,,Puerto Rico slow to bring back electricity after powerful #EARTHQUAKE https://t.co/Aqk4JHU6K2
commoncurator,,2020-01-08 19:34:16,,"Power Outage Affects Two-Thirds of Puerto Rico After #Earthquake. Thousands of Puerto Ricans slept outside, fearing… https://t.co/nxgKeMMmeX"
gridpointwx,"New York, USA",2020-01-08 19:34:11,,Puerto Rico counts cost of worst #EARTHQUAKE in a century – in pictures https://t.co/kr2eoHfNNv  #GlobalWarming #climatechange
praisecharlotte,"Charlotte, NC",2020-01-08 19:34:01,,6.4 Magnitude Earthquake Strikes Puerto Rico https://t.co/QTiidi3Mq8
