user,location,date,coordinates,content
EMSC,"Bruyères-Le-Chatel, France",2020-08-10 05:54:21,,#Earthquake (#deprem) M2.2 strikes 17 km W of #Doğanyol (#Turkey) 11 min ago. More info: https://t.co/fVLv9iiFAS
LastQuake,"based in Paris, works globally",2020-08-10 04:39:33,"{'type': 'Point', 'coordinates': [35.87, 37.43]}",Felt #earthquake (#deprem) M3.6 strikes 6 km SE of #Kozan (#Turkey) 10 min ago. Please report to:… https://t.co/NuwSY697pc
EMSC,"Bruyères-Le-Chatel, France",2020-08-10 04:36:01,,#Earthquake (#deprem) M3.6 strikes 6 km SE of #Kozan (#Turkey) 7 min ago. More info: https://t.co/PU2RvOwORc
Earth_Extreme,UK,2020-08-16 01:03:11,,EARTHQUAKE SWARM IN EASTERN/WESTERN/CENTRAL TURKEY 14th - 15th August 2020 #earthquake #QuakeSwarm #turkey https://t.co/hFGcRAjCnG
EMSC,"Bruyères-Le-Chatel, France",2020-08-15 18:54:34,,#Earthquake (#deprem) M2.6 strikes 21 km NE of #Doğanyol (#Turkey) 8 min ago. More info: https://t.co/vJ1jfjasiU
EMSC,"Bruyères-Le-Chatel, France",2020-08-15 18:17:27,,#Earthquake (#deprem) M2.4 strikes 75 km S of #Hakkari (#Turkey) 18 min ago. More info: https://t.co/ilhwwVQw9L
GocmenMurat,San Francisco,2020-08-15 17:17:58,,@vanessahlarson Cynicism is deeply rooted in Turkey. “1999 earthquake is done by America “ :).
jrhusm,"Cairo, Egypt",2020-08-15 14:32:46,,@Mellifleous12 @spectatorindex It says in earthquake in turkey the egyptian army helped you and was one of first co… https://t.co/FiJAfMslYh
PrayerTrooper,,2020-08-15 13:52:24,,Ezekiel 38 explains that when Gog and Magog which are know today as Russia and Turkey attack Israel a great earthqu… https://t.co/bRSLJ9l5Yo
baba_vardaani,India,2020-08-15 11:24:32,,#Turkey/#Iran 5.0±M #earthquake soon..#Deprem
SMP1Balikpapan,Indonesia - Balikpapan,2020-08-15 10:31:32,,"Help from Turkey, Spain arrives in Balikpapan for Palu earthquake victims - The Jakarta Post - Jakarta Post https://t.co/rcXupKe7PP"
itsammartarik,"Islamabad, Pakistan",2020-08-15 08:50:36,,"6-After Izmit earthquake, Israel assisted in search &amp; rescue efforts &amp; set up makeshift hospitals &amp; During Mount Ca… https://t.co/1iunqFueFz"
EMSC,"Bruyères-Le-Chatel, France",2020-08-15 07:53:17,,#Earthquake (#deprem) M2.0 strikes 30 km S of #Baskil (#Turkey) 27 min ago. More info: https://t.co/jmBtbQQaUS
EMSC,"Bruyères-Le-Chatel, France",2020-08-15 05:02:54,,#Earthquake (#deprem) M2.0 strikes 30 km NE of #Sincik (#Turkey) 43 min ago. More info: https://t.co/xHp6WZPwg4
astaghosh,Indonesia ,2020-08-15 04:34:26,,"@dragonfly_xxxx @AdamnaGre11 @hobeets Turkey (Elazig) 🤔 🤣yesterday, many people died in the earthquake.  As bad as the mitigation."
nikkimalikani,Pakistan,2020-08-15 00:07:55,,@OXBRIDG78361665 @GandapurPAT Then make ur self worthy of some respect. Turkey always stands with us. When earthqua… https://t.co/E0uYYPLBaN
corry2449,"North Carolina, USA",2020-08-14 23:44:46,,"@SecPompeo @UN You are a Christian, please read Ezekiel 38-39 War Gog &amp; Magog when Israel is invaded from the north… https://t.co/rDDRbsz2Io"
Earth_Extreme,UK,2020-08-14 21:49:02,,EARTHQUAKE SWARM IN EASTERN/WESTERN/CENTRAL TURKEY 13th August 2020 #earthquake #QuakeSwarm #turkey https://t.co/KoeMFUaSfH
baba_vardaani,India,2020-08-14 19:55:09,,"#Philippines #earthquake soon..
#Herzegovina #Turkey #Istanbul earthquake soon..#deprem #depremistanbul 

#Japan… https://t.co/FNdj8m5oS4"
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 15:04:21,,#Earthquake (#deprem) M2.3 strikes 21 km SE of #Afyonkarahisar (#Turkey) 17 min ago. More info: https://t.co/ry2XXlsaZU
Swati49607396,India,2020-08-14 13:57:25,,@samirsinh189 @vali_nasr @hend_mana @abdullauae @MagenYoed @DanAlluf @MNemenman @lennybendavid @ModinomicsIndia… https://t.co/XuObRErk8p
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 13:36:50,,#Earthquake (#deprem) M2.8 strikes 30 km NW of #Solhan (#Turkey) 14 min ago. More info: https://t.co/RPPzPoARAx
LefterisToon,"Sydney, New South Wales",2020-08-14 10:57:09,,"@Nedenoglum @Afragos7 @ryam81 @andreasmoun Best wishes mate
All good - just tit for tat fun

End of the day when Tu… https://t.co/ENSb9OtEKJ"
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 10:18:57,,#Earthquake (#deprem) M2.4 strikes 22 km S of #Afyonkarahisar (#Turkey) 22 min ago. More info: https://t.co/XJD0sQZk7z
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 09:39:34,,#Earthquake (#deprem) M2.1 strikes 10 km SW of #Şanlıurfa (#Turkey) 26 min ago. More info: https://t.co/RHvbNgFGik
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 09:20:01,,#Earthquake (#deprem) M2.0 strikes 20 km NE of #Akhisar (#Turkey) 36 min ago. More info: https://t.co/Sj18aKz1mG
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 08:41:17,,#Earthquake (#deprem) M2.0 strikes 17 km W of #Yedisu (#Turkey) 56 min ago. More info: https://t.co/GHYaKA5JbN
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 08:01:55,,Update: M2.5 #earthquake (#deprem) strikes 16 km E of #Refahiye (#Turkey) 57 min ago. https://t.co/3DqGTwL5HH
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 07:51:40,,#Earthquake (#deprem) M2.0 strikes 25 km SE of #Çubuk (#Turkey) 39 min ago. More info: https://t.co/3JV9L5VSZQ
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 07:34:35,,#Earthquake (#deprem) M3.1 strikes 18 km E of #Çukurca (#Turkey) 8 min ago. More info: https://t.co/iHZ5vGd4qM
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 07:16:05,,#Earthquake (#deprem) M3.1 strikes 11 km S of #Refahiye (#Turkey) 11 min ago. More info: https://t.co/3DqGTwL5HH
Bahu2002,,2020-08-14 06:32:23,,@desimojito Aamir Bhuj gaya waha earthquake Ladhak cloud burst.. Turkey seems to be going to war.. 🙏🙏
Fayaz40435761,,2020-08-14 06:08:34,,"Geo political earthquake......... Very soon... 
Pakistan centre of mass of 🇺🇸and 🇨🇳
UAE  Israel  relationship will… https://t.co/tzOUQMYyyQ"
Earthquake_rt,World Earthquakes,2020-08-14 05:46:32,,ML 2.0 NEAR THE COAST OF WESTERN TURKEY https://t.co/G6Xl7dsVvs
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 04:49:13,,#Earthquake (#deprem) M2.0 strikes 22 km NW of #Foça (#Turkey) 1hr 29min ago. More info: https://t.co/SuaR92YRS2
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 03:12:13,,#Earthquake (#deprem) M2.6 strikes 14 km S of #Bergama (#Turkey) 41 min ago. More info: https://t.co/5FPagTedrA
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 02:57:47,,Update: M3.0 #earthquake (#deprem) strikes 14 km S of #Bergama (#Turkey) 17 min ago. https://t.co/CYRFnAW5SR
EMSC,"Bruyères-Le-Chatel, France",2020-08-14 02:42:57,,#Earthquake (#deprem) M2.5 strikes 16 km S of #Bergama (#Turkey) 2 min ago. More info: https://t.co/CYRFnAW5SR
