user,location,date,coordinates,content
thapa_subina,,2020-08-10 06:30:28,,"A 5.1 magnitude earthquake hit about 2 miles from the town of Sparta, North Carolina. It's the strongest quake to s… https://t.co/r9Naax56fq"
4danlopez,"Mostly Chicago, IL ",2020-08-10 06:30:09,,5.1 magnitude earthquake reported near North Carolina-Virginia border https://t.co/xzOWrpPWt1
CulverCityNIMBY,Culver City CA USA,2020-08-10 06:26:19,,North Carolina Hit By Most Powerful Earthquake in 100 Years https://t.co/Efx40r0xxH via @YouTube
tmount,"Washington, DC area",2020-08-16 01:06:18,,@garyleff Right next to a North Carolina Earthquake... but I've got this blank space next to it that I'm not sure w… https://t.co/zG7T5m3sjL
Nick_Danizio_48,"North Carolina, USA",2020-08-16 00:50:56,,Only in North Carolina you can go through a hurricane then have a earthquake six days later #CrazyWeather
InspiredBarbara,,2020-08-15 23:36:22,,@blackwomenviews I hear you!  There was a hurricane in Iowa this week along with a earthquake in North Carolina.  A… https://t.co/Edm63EZXyl
trustdtravelr,,2020-08-15 21:58:34,,5.1 magnitude earthquake reported near North Carolina-Virginia border
JenniferHollyC2,"Canoga Park, Los Angeles",2020-08-15 20:39:52,,"North Carolina had a 5.1 Earthquake. 😕
https://t.co/vawj12DmuT"
trstdtravlr,,2020-08-15 19:48:30,,5.1 magnitude earthquake reported near North Carolina-Virginia border
scottidawgs,Earth,2020-08-15 19:20:28,,"@LesterHoltNBC 
A Magnitude 5.1 Earthquake Shook Sparta, North Carolina Around 8AM - WCCB"
scottidawgs,Earth,2020-08-15 19:17:35,,"@KWQCSharon 

A Magnitude 5.1 Earthquake Shook Sparta, North Carolina Around 8AM - WCCB Charlotte"
RTheExplorer1,"North Carolina, USA",2020-08-15 19:06:17,,Researchers Studying 5.1 Earthquake In North Carolina https://t.co/8kF5mJHxka via @YouTube
WallStBetsDotC1,,2020-08-15 18:38:49,,North Carolina Earthquake August 9th - strongest since 1916 - felt 100+ miles away https://t.co/B8UaHPJtSo
EQAlert,USA,2020-08-15 18:37:14,,Fridays EQ Blog:  East Coast Official Prediction is NOW a 5.1 That Struck North Carolina!!!  And 6.0 Struck Tanzani… https://t.co/j4HoxifKBX
tim_roess,,2020-08-15 14:59:12,,"@ThePaulaJones You know a week ago, we had an earthquake here in North Carolina.  That’s always odd, hopefully you… https://t.co/MtCDNU8iGP"
everyEarthquake,Earth,2020-08-15 13:40:02,"{'type': 'Point', 'coordinates': [-81.1101667, 36.476]}","USGS reports a M2.13 earthquake, 3 km SSE of Sparta, North Carolina on 8/15/20 @ 7:41:27 UTC https://t.co/BiYg9rwcGU #earthquake"
CheddarGadgets,"New York, NY",2020-08-15 13:37:00,,North Carolina's strongest earthquake in 94 years hit near the Virginia border. https://t.co/dBxo96jCbf
WFMY,"Greensboro, North Carolina",2020-08-15 11:00:17,,The University of Memphis says specialists from its earthquake research center are traveling to North Carolina to m… https://t.co/Ft9OpKTyrP
trstdtravlr,,2020-08-15 09:58:26,,why 5.1 magnitude earthquake reported near North Carolina-Virginia border
trustdtravelr,,2020-08-15 08:38:14,,5.1 magnitude earthquake reported near North Carolina-Virginia border
AltamiranoAdele,"Washington, USA",2020-08-15 08:02:35,,"North Carolina hit by 5.1 magnitude earthquake, t…: https://t.co/qFVIpzgEcF"
visionthefather,,2020-08-15 07:39:53,,"Earthquakes:
New Zealand 7.4

Mexico 
Magnitude 7.4

Iceland
Magnitude 5.8 
Swarms of quakes hits 
9000 in ten days… https://t.co/x00qTkB6GG"
trustdtravelr,,2020-08-15 06:38:24,,North Carolina's strongest earthquake in 94 years shakes area along Virginia border
dunn_w_ur_crap,,2020-08-15 04:49:48,,North Carolina had an earthquake. Iowa had a hurricane. Utah is on fire. people are dying. But wearing a mask is your biggest concern?
EQAlert,USA,2020-08-15 03:33:54,,EQ Blog:  That Big East Coast Prediction is NOW a 5.1 That Struck North Carolina!!!  And 6.0 Struck Tanzania!!! (Sa… https://t.co/dGZfErAeWR
oliverbarry,Hendersonville TN,2020-08-15 03:22:27,,"@B52Malmet Who picked the earthquake in North Carolina? Nope, me neither."
WNCN,North Carolina,2020-08-15 02:29:26,,"14 aftershocks hit NC county after large weekend earthquake

https://t.co/cVq2RvhG9M"
jeansainvil,Indianapolis Indiana,2020-08-15 01:45:07,,"https://t.co/VWKVPEFrVW. passes 5 million coronavirus cases, President Trump’s new executive actions come under fir… https://t.co/JLbkpmO9GF"
catrisky,Earthquakes Hurricanes Wind,2020-08-15 00:56:33,,14 aftershocks hit NC county after large weekend earthquake - https://t.co/xXO7gjM1Nf https://t.co/9F8HcYBaO3 https://t.co/UcMr1YPpDp
CAPTRick74,"Southwick, MA",2020-08-14 21:29:14,,Ocean Sciences Article of the Day - 5.1 Magnitude Earthquake Strikes North Carolina (New York Times) https://t.co/qmccuZgh0h
jplatt04,Texas,2020-08-14 21:04:08,,North Carolina earthquake with 5.1-magnitude strikes north of Charlotte at Virginia border - CNN ~ North Carolina's… https://t.co/OK7hi3Uqun
SeismoSue,pasadena,2020-08-14 20:18:31,,"Based on what data I could find at the time, I leaned away from depth being the controlling variable, but this even… https://t.co/GzVkJTxG0h"
AlamoPong,Texas,2020-08-14 20:13:44,,@MajorPatriot Have anything to do with the earthquake in North Carolina?
trstdtravlr,,2020-08-14 20:09:22,,5.1 magnitude earthquake reported near North Carolina-Virginia border
Elalacran02,United States,2020-08-14 19:45:03,,Check out this article from #weatherchannel https://t.co/DwOdxUY83i
WSPA7,"Spartanburg, SC",2020-08-14 19:14:13,,Specialists from the University of Memphis are traveling to North Carolina to monitor aftershocks of this past week… https://t.co/cEmgh7YBiX
foggybottomgal,"Cherokee National Forest,TN/NC",2020-08-14 19:12:39,,The most powerful earthquake to hit North Carolina in more than 100 years struck Sunday morning. People felt it acr… https://t.co/CwU4WYZN7C
trstdtravlr,,2020-08-14 18:48:14,,did you overhear that North Carolina's strongest earthquake in 94 years shakes area along Virginia border
WRCB,"Chattanooga, TN",2020-08-14 18:33:00,,EARTHQUAKE STUDY: Specialists from the University of Memphis are traveling to North Carolina to monitor aftershocks… https://t.co/6uI2dfVFTY
WTOP,"Washington, DC · 103.5 FM",2020-08-14 17:41:01,,"During a Sunday service in North Carolina the lector had reached the 19th chapter of 1 Kings, which said, “After th… https://t.co/1Jfeap7w7W"
everyEarthquake,Earth,2020-08-14 17:31:03,"{'type': 'Point', 'coordinates': [-81.0988333, 36.5036667]}","USGS reports a M0.18 earthquake, 1 km E of Sparta, North Carolina on 8/14/20 @ 7:42:50 UTC https://t.co/5hBxAjEJQh #earthquake"
WXII,"Piedmont Triad, NC",2020-08-14 17:19:04,,University of Memphis sends researchers to study North Carolina earthquake https://t.co/2sozHHZwMz
trstdtravlr,,2020-08-14 17:18:31,,North Carolina's strongest earthquake in 94 years shakes area along Virginia border
KGSNews,"Lexington, KY",2020-08-14 17:03:05,,Curious about the Mw 5.1 earthquake that occurred in North Carolina on August 9? Check out this poster showing a re… https://t.co/MUookOXcNU
im_too_confused,"North Carolina, USA",2020-08-14 16:57:36,,@wesbtw1 We all have to make it out 2020 alive first. So far my area has had excessive heat. A hurricane. Tornados.… https://t.co/tAMvPmpQiJ
EQAlert,USA,2020-08-14 16:40:14,,"REPEAT:  East Coast Prediction NOW a 5.1 That Struck North Carolina!!!  And 6.0 Struck Tanzania!!! (Said Botswana,… https://t.co/TVPkRwnTfa"
sjvn,"Asheville, NC",2020-08-14 16:20:18,,"Open source takes on #earthquake early warning project https://t.co/M7O8mB2yKo via @ZDNet &amp; @sjvn

I could have use… https://t.co/z7ZN4liAX6"
YoeriGeutskens,,2020-08-14 16:13:17,,"@HDMOVIESOURCE North Carolina? Wasn't there a hurricane last week, followed by an earthquake a few days later?"
loebsackbrownle,"CLT, Triangle, Chas., GSP",2020-08-14 16:12:29,,"Well, if this isn't just like #2020. North Carolina experienced a 5.1 magnitude earthquake over the weekend. The st… https://t.co/E5dX2MAHZx"
wdefnews12,"Chattanooga, TN",2020-08-14 15:45:00,,Specialists from The University of Memphis earthquake research center are traveling to North Carolina to monitor af… https://t.co/fTcfQpnx1Q
WCCBCharlotte,"Charlotte, NC",2020-08-14 14:30:10,,Specialists from the University of Memphis are traveling to North Carolina to monitor aftershocks of this past week… https://t.co/LQyWa5yYdk
EQAlert,USA,2020-08-14 14:04:18,,NOW:  Fridays EQ Blog With East Coast Prediction NOW a 5.1 That Struck North Carolina!!!  And 6.0 Struck Tanzania!!… https://t.co/vMpBFEG3eQ
everyEarthquake,Earth,2020-08-14 12:36:03,"{'type': 'Point', 'coordinates': [-81.0736667, 36.5135]}","USGS reports a M1.65 earthquake, 4 km ENE of Sparta, North Carolina on 8/13/20 @ 23:42:22 UTC https://t.co/2WSWFIOzQf #earthquake"
trustdtravelr,,2020-08-14 07:09:10,,5.1 magnitude earthquake reported near North Carolina-Virginia border
inquirerdotnet,Makati City,2020-08-14 07:05:42,,The Scripture quite literally came to life for several Catholic churches in North Carolina as a rare earthquake rat… https://t.co/VI0jKnjM7T
WillDaw22627196,United States,2020-08-14 05:54:39,,"I feel the same thing I felt Sunday when there was a earthquake along the North Carolina Virginia border, Feels lik… https://t.co/23CCszUHWT"
trstdtravlr,,2020-08-14 05:48:32,,My thoughts North Carolina's strongest earthquake in 94 years shakes area along Virginia border
