source_name,title,url,date,content
The Times of India,"Argentina quake of magnitude 6.8 shakes homes, buildings; no injuries reported",https://economictimes.indiatimes.com/news/international/world-news/argentina-quake-of-magnitude-6-8-shakes-homes-buildings-no-injuries-reported/articleshow/80341858.cms,2021-01-19,"An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were n… [+561 chars]"
Business Standard,"Magnitude 6.4 quake shakes parts of Argentina and Chile, no damage reported",https://www.business-standard.com/article/current-affairs/magnitude-6-4-quake-shakes-parts-of-argentina-and-chile-no-damage-reported-121011900220_1.html,2021-01-19,"A powerful earthquake struck in northwestern Argentina near the border with Chile, shaking people in both countries, but there were no early reports of damage or injuries.
The US Geological Survey s… [+1602 chars]"
Liveleak.com,Large crack cuts through Argentina's longest road after a 6.4-magnitude earthquake,https://www.liveleak.com/view?t=k8Cnz_1611250922,2021-01-21,"The 6.4-magnitude earthquake in the province of San Juan, Argentina, left significant damage, including a large on Route 40. Route 40 is the longest route in the country and one of the most important… [+306 chars]"
Liveleak.com,6.4 magnitude earthquake and several after shocks shakes Argentina,https://www.liveleak.com/view?t=uMxRr_1611075603,2021-01-19,A 6.4 magnitude earthquake has struck Argentina's west-central province of San Juan on Monday night (January 18).A series of aftershocks around the country followed. A 5.0 magnitude aftershock struck… [+1546 chars]
Liveleak.com,Swimming pool shakes as magnitude 6.4 earthquake hits Argentina,https://www.liveleak.com/view?t=uhxZp_1611058862,2021-01-19,"Footage shows a swimming pool shaking as a magnitude 6.4 earthquake struck San Juan Province, Argentina, on Monday evening (January 18).The United States Geological Survey reported that the quake str… [+190 chars]"
Liveleak.com,Argentina earthquake shakes home,https://www.liveleak.com/view?t=HWa6_1611048064,2021-01-19,"Footage shows a home shaking as a magnitude 6.4 earthquake struck San Juan Province, Argentina, on Monday evening (January 18).The United States Geological Survey reported that the quake struck at a … [+216 chars]"
Liveleak.com,Fish tank shakes as magnitude 6.4 earthquake hits Argentina,https://www.liveleak.com/view?t=97j9_1611048063,2021-01-19,"Footage shows a fish tank shaking as a magnitude 6.4 earthquake struck San Juan Province, Argentina, on Monday evening (Jan 18).The United States Geological Survey reported that the quake struck at a… [+217 chars]"
Liveleak.com,Items spilt all over shop floor as magnitude 6.4 earthquake strikes Argentina,https://www.liveleak.com/view?t=uZFuF_1611048064,2021-01-19,
Liveleak.com,Car shakes during magnitude 6.4 earthquake in Argentina,https://www.liveleak.com/view?t=sqAFo_1611048063,2021-01-19,
The Japan Times,Chile regrets panic triggered by mistaken tsunami warning after quake,https://www.japantimes.co.jp/news/2021/01/24/world/chile-mistaken-tsunami-warning/,2021-01-24,"SANTIAGO – Authorities in Chile said on Saturday they regretted spreading panic with a mistaken tsunami warning calling for people to get out of coastal areas following an earthquake in Antarctica.
… [+1912 chars]"
Reuters,"Argentina quake of magnitude 6.8 shakes homes, buildings; no injuries reported",https://www.reuters.com/article/us-argentina-quake-idUSKBN29O077,2021-01-19,"By Reuters Staff
(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off superma… [+1057 chars]"
Reuters,"Magnitude 6.8 quake strikes San Juan Province, Argentina: GFZ",https://www.reuters.com/article/us-argentina-quake/magnitude-68-quake-strikes-san-juan-province-argentina-gfz-idUSKBN29O077,2021-01-19,"By Reuters Staff
(Reuters) - An earthquake of magnitude 6.8 struck San Juan Province, Argentina, late on Monday, the GFZ German Research Center for Geosciences (GFZ) said. The quake was at a depth o… [+30 chars]"
Reuters,"UPDATE 2-Argentina quake of magnitude 6.8 shakes homes, buildings; no injuries reported",https://www.reuters.com/article/argentina-quake/update-2-argentina-quake-of-magnitude-68-shakes-homes-buildings-no-injuries-reported-idUSL1N2JU05N,2021-01-19,"By Reuters Staff
(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off superma… [+589 chars]"
The Times of India,"Argentina quake of magnitude 6.8 shakes homes, buildings; no injuries reported",https://economictimes.indiatimes.com/news/international/world-news/argentina-quake-of-magnitude-6-8-shakes-homes-buildings-no-injuries-reported/articleshow/80341858.cms,2021-01-19,"An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were n… [+561 chars]"
Business Standard,"Magnitude 6.4 quake shakes parts of Argentina and Chile, no damage reported",https://www.business-standard.com/article/current-affairs/magnitude-6-4-quake-shakes-parts-of-argentina-and-chile-no-damage-reported-121011900220_1.html,2021-01-19,"A powerful earthquake struck in northwestern Argentina near the border with Chile, shaking people in both countries, but there were no early reports of damage or injuries.
The US Geological Survey s… [+1602 chars]"
Liveleak.com,Large crack cuts through Argentina's longest road after a 6.4-magnitude earthquake,https://www.liveleak.com/view?t=k8Cnz_1611250922,2021-01-21,"The 6.4-magnitude earthquake in the province of San Juan, Argentina, left significant damage, including a large on Route 40. Route 40 is the longest route in the country and one of the most important… [+306 chars]"
Liveleak.com,6.4 magnitude earthquake and several after shocks shakes Argentina,https://www.liveleak.com/view?t=uMxRr_1611075603,2021-01-19,A 6.4 magnitude earthquake has struck Argentina's west-central province of San Juan on Monday night (January 18).A series of aftershocks around the country followed. A 5.0 magnitude aftershock struck… [+1546 chars]
Liveleak.com,Swimming pool shakes as magnitude 6.4 earthquake hits Argentina,https://www.liveleak.com/view?t=uhxZp_1611058862,2021-01-19,"Footage shows a swimming pool shaking as a magnitude 6.4 earthquake struck San Juan Province, Argentina, on Monday evening (January 18).The United States Geological Survey reported that the quake str… [+190 chars]"
Liveleak.com,Argentina earthquake shakes home,https://www.liveleak.com/view?t=HWa6_1611048064,2021-01-19,"Footage shows a home shaking as a magnitude 6.4 earthquake struck San Juan Province, Argentina, on Monday evening (January 18).The United States Geological Survey reported that the quake struck at a … [+216 chars]"
Liveleak.com,Fish tank shakes as magnitude 6.4 earthquake hits Argentina,https://www.liveleak.com/view?t=97j9_1611048063,2021-01-19,"Footage shows a fish tank shaking as a magnitude 6.4 earthquake struck San Juan Province, Argentina, on Monday evening (Jan 18).The United States Geological Survey reported that the quake struck at a… [+217 chars]"
Liveleak.com,Items spilt all over shop floor as magnitude 6.4 earthquake strikes Argentina,https://www.liveleak.com/view?t=uZFuF_1611048064,2021-01-19,
Liveleak.com,Car shakes during magnitude 6.4 earthquake in Argentina,https://www.liveleak.com/view?t=sqAFo_1611048063,2021-01-19,
The Japan Times,Chile regrets panic triggered by mistaken tsunami warning after quake,https://www.japantimes.co.jp/news/2021/01/24/world/chile-mistaken-tsunami-warning/,2021-01-24,"SANTIAGO – Authorities in Chile said on Saturday they regretted spreading panic with a mistaken tsunami warning calling for people to get out of coastal areas following an earthquake in Antarctica.
… [+1912 chars]"
Reuters,"Argentina quake of magnitude 6.8 shakes homes, buildings; no injuries reported",https://www.reuters.com/article/us-argentina-quake-idUSKBN29O077,2021-01-19,"By Reuters Staff
(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off superma… [+1057 chars]"
Reuters,"Magnitude 6.8 quake strikes San Juan Province, Argentina: GFZ",https://www.reuters.com/article/us-argentina-quake/magnitude-68-quake-strikes-san-juan-province-argentina-gfz-idUSKBN29O077,2021-01-19,"By Reuters Staff
(Reuters) - An earthquake of magnitude 6.8 struck San Juan Province, Argentina, late on Monday, the GFZ German Research Center for Geosciences (GFZ) said. The quake was at a depth o… [+30 chars]"
Reuters,"UPDATE 2-Argentina quake of magnitude 6.8 shakes homes, buildings; no injuries reported",https://www.reuters.com/article/argentina-quake/update-2-argentina-quake-of-magnitude-68-shakes-homes-buildings-no-injuries-reported-idUSL1N2JU05N,2021-01-19,"By Reuters Staff
(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off superma… [+589 chars]"
Toronto Star,Magnitude 6.4 quake shakes parts of Argentina and Chile,https://www.thestar.com/news/world/americas/2021/01/18/magnitude-64-quake-shakes-parts-of-argentina-and-chile.html,2021-01-19,"SANTIAGO, Chile - A powerful earthquake struck in northwestern Argentina near the border with central Chile late Monday, shaking people in parts of both countries. There were no early reports of inju… [+694 chars]"
Ynetnews,Magnitude 6.4 quake shakes parts of Argentina and Chile,https://www.ynetnews.com/article/B1JmR0Qyd,2021-01-19,
