user,location,date,coordinates,content
TumDepremler,Türkiye,2021-02-11 17:21:17,,"#DEPREM #EARTHQUAKE
BAYATBADEMLERI-KORKUTELI (ANTALYA)
https://t.co/1bpsQsngOE
11.02.2021, 19:58:30 TSİ (LocalTime)
Büyüklük (Magnitude): 2.1 ML
Derinlik (Depth): 2.2 KM

#Türkiye #Turkey #Bayatbademleri #Korkuteli #Antalya"
TumDepremler,Türkiye,2021-02-11 17:00:17,,"#DEPREM #EARTHQUAKE
KEMER-BIGA (CANAKKALE)
https://t.co/dgc13DcmIi
11.02.2021, 19:33:54 TSİ (LocalTime)
Büyüklük (Magnitude): 2.3 ML
Derinlik (Depth): 12.3 KM

#Türkiye #Turkey #Kemer #Biga #Canakkale"
TumDepremler,Türkiye,2021-02-11 16:30:22,,"#DEPREM #EARTHQUAKE
DUZBAHCE-SIVRICE (ELAZIG)
https://t.co/apArHmNgIY
11.02.2021, 19:23:36 TSİ (LocalTime)
Büyüklük (Magnitude): 1.8 ML
Derinlik (Depth): 7.0 KM

#Türkiye #Turkey #Duzbahce #Sivrice #Elazig"
TumDepremler,Türkiye,2021-02-11 16:15:14,,"#DEPREM #EARTHQUAKE
GOKOVA KORFEZI
https://t.co/pf69osXBup
11.02.2021, 18:56:20 TSİ (LocalTime)
Büyüklük (Magnitude): 1.6 ML
Derinlik (Depth): 10.8 KM

#Türkiye #Turkey #Gokova #Korfezi #GokovaKorfezi"
TumDepremler,Türkiye,2021-02-11 15:27:18,,"#DEPREM #EARTHQUAKE
KUSADASI KORFEZI
https://t.co/xqd5qSW4bT
11.02.2021, 18:06:17 TSİ (LocalTime)
Büyüklük (Magnitude): 1.9 ML
Derinlik (Depth): 3.7 KM

#Türkiye #Turkey #Kusadasi #Korfezi #KusadasiKorfezi"
mcyorukoglu,Verified Account ✔,2021-02-11 15:07:13,,"Şimdi de Aliağa başladı, Alsancak dan bile hissediyorum!!! 🙏🏻🧿😔👇🏻

Deprem M3.5, NEAR THE COAST OF WESTERN TURKEY, Thu 11 Feb 2021 13:48:07 UTC https://t.co/IaLatcvv3J"
LastQuake,"based in Paris, works globally",2021-02-11 14:30:04,"{'type': 'Point', 'coordinates': [26.81, 38.87]}",Map of felt reports received so far following the #earthquake M3.5 Near The Coast of Western Turkey 42 min ago https://t.co/NiOi0MqSVM
TumDepremler,Türkiye,2021-02-11 14:27:07,,"#DEPREM #EARTHQUAKE
SAMLAR-BASAKSEHIR (ISTANBUL)
https://t.co/YF0DxOKTR5
11.02.2021, 17:17:36 TSİ (LocalTime)
Büyüklük (Magnitude): 1.2 ML
Derinlik (Depth): 0.0 KM

#Türkiye #Turkey #Samlar #Basaksehir #Istanbul"
LastQuake,"based in Paris, works globally",2021-02-11 14:01:04,"{'type': 'Point', 'coordinates': [26.81, 38.87]}",M3.5 #earthquake (#deprem) strikes 37 km NW of #Menemen (#Turkey) 13 min ago. Read eyewitnesses' stories &amp; share yours: https://t.co/Emh6fxRPX8
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 14:00:50,,#Earthquake (#deprem) M2.1 strikes 16 km W of #Aliağa (#Turkey) 36 min ago. More info: https://t.co/s9F4cwRN3P
