user,location,date,coordinates,content
Glasgowin2024,"Glasgow, United Kingdom",2021-02-11 18:33:31,,"On 29th December, the town of Petrinja suffered a violent earthquake, killing 7 and causing damage as far away as Bosnia and Slovenia. ConTribution supports the Solidarna Foundation's (@SOLIDARNAhr) reconstruction work in one of Croatia's poorest regions.

https://t.co/6Zj1w54Lh9"
Glasgowin2024,"Glasgow, United Kingdom",2021-02-11 18:33:30,,"#ConTribution is almost here! Show the power of the SF community to effect change and support the victims of the Croatia's Petrinja earthquake at this weekend's fundraiser. Featuring special guests Juliet E. McKenna and Adrian Tchaikovsky!
https://t.co/cgPE01kGar https://t.co/86uHNnTALI"
B_Cara_mello,,2021-02-11 18:32:19,,"Would you guys be okay with me delaying commissions a little to fundraise towards helping those affected by the earthquake in Croatia? I'll try to make it cheap and not labor-intensive so I can do a lot quickly LOL, YCH icons maybe?"
Chillaxpepper,France,2021-02-11 18:05:15,,"@negrostarz Hello. My family is from croatia. And even I didn't heard about this earthquake.

Not because of mcyttwt making another thing trending, but because of informative medias that didn't talk about it.

Don't go after LITTERAL KIDS, or dream for talking about smthg they enjoy. :)"
Milkn_Sugar,Read carrd before interacting,2021-02-11 17:43:58,,I'm SO MAD about what happened with the Croatia earthquake hashtag
neve_bella,She/Her,2021-02-11 15:41:38,,@negrostarz personally id like to say that the only reason why i knew about that earthquake was bc mcyt stans tweeted about it sooo... also # about croatia was 2nd to me idk man
rednoses_int,"Wien, Österreich",2021-02-11 13:04:44,,"Last December an earthquake hit central Croatia leaving more than 6.000 people without homes. 

“This is the first time I am seeing him interact with others. He is even singing and dancing. ....

#earthquake #Croatia https://t.co/D1zMAYz06n"
realkazuha,he/they // 17 // INFP-T,2021-02-11 11:33:27,,"// earthquake , death

this is completely not the point at all but

the earthquakes in croatia killed 8 people. i argue that’s 8 too many. but, im just tired of people weaponizing tragedies for twitter.

leaves a bad taste in my mouth that’s all https://t.co/yabN9ORTrX"
plarpedbees,"Awesometown, SmoshVille",2021-02-11 11:30:04,,I have no money atm so all I can do is send my thoughts and prayers out to the people and families harmed by the earthquake in Croatia.
weeb_yuki,Sukuna's domain,2021-02-11 10:50:23,,"Not to be an ""anti"" as hpw you worshippers of mcyt call us but stope putting the mfs in a shrine....they aint crap...uhm hello earthquake in Croatia anyone?Y'all do b some annoying 12 year olds"
