user,location,date,coordinates,content
EMSC,"Bruyères-Le-Chatel, France",2021-02-12 02:31:29,,#Earthquake (#sismo) M2.7 strikes 111 km NW of San Antonio de los Cobres (#Argentina) 35 min ago. More info: https://t.co/I7OunlQ1JT
VolcanoEWS,Mars,2021-02-12 02:16:07,,New Earthquake 4.26 km of Aguada de la Burros - Argentina - 3.80m/123km - 12/02/2021 02:16:06 UTC (NSNA/Automatic) #eqvyt_2256 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-12 02:16:01,,#Earthquake (#sismo) M3.8 strikes 64 km NW of #Mendoza (#Argentina) 10 min ago. More info: https://t.co/BMqeEGqThE
EQAlerts,,2021-02-12 02:12:09,,"#Earthquake M3.8 MENDOZA (Argentina) 6mins ago 12 Feb 02:06 UTC - report/info: 
https://t.co/x32UW2Htha"
WatchOurCity,California,2021-02-11 23:12:17,,"M4.6 Earthquake - southern Chile-Argentina border region

Preliminary Report

Magnitude4.6
Date-Time11 Feb 2021  14:01:28 UTC11 Feb 2021  11:01:28 near epicenter11 Feb 2021  06:01:28 standard time in your timezone
Location39.831S,  71.970W
Depth10

https://t.co/ylmFZoblHK"
WatchOurCity,California,2021-02-11 23:11:08,,(USGS) Earthquake: Magnitude 4.6 – southern Chile-Argentina border region https://t.co/jMwlnDFZMO #Earthquakes #PanguipulliChile #Pucï¿½nChile #ValdiviaChile #VillarricaChile
VolcanoEWS,Mars,2021-02-11 20:03:27,,New Earthquake 5.75 km of Junquillar - Argentina - 3.90ml/179km - 11/02/2021 20:03:26 UTC (CSN/Automatic) #eqvyt_2204 (0x)
EQAlerts,,2021-02-11 19:56:09,,"#Earthquake M3.7 SALTA (Argentina) 7mins ago 11 Feb 19:49 UTC - report/info: 
https://t.co/HtHgz2FWwp"
VolcanoEWS,Mars,2021-02-11 19:56:08,,New Earthquake 0.90 km of Saladillo - Argentina - 3.70m/206km - 11/02/2021 19:56:07 UTC (NSNA/Automatic) #eqvyt_2203 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 19:55:59,,#Earthquake (#sismo) M3.7 strikes 82 km W of San Antonio de los Cobres (#Argentina) 7 min ago. More info: https://t.co/MVAsbKgXZN
EQAlerts,,2021-02-11 19:16:08,,"#Earthquake M3.5 CATAMARCA (Argentina) 7mins ago 11 Feb 19:09 UTC - report/info: 
https://t.co/4ZHkHk4WAs"
VolcanoEWS,Mars,2021-02-11 19:15:51,,New Earthquake 3.24 km of La Puntilla - Argentina - 3.50m/156km - 11/02/2021 19:15:50 UTC (NSNA/Automatic) #eqvyt_2197 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 19:15:47,,#Earthquake (#sismo) M3.5 strikes 8 km S of #Tinogasta (#Argentina) 7 min ago. More info: https://t.co/wHbfYY3RHH
ENSO1998,SE PA  USA,2021-02-11 15:52:17,,"Moderate mag. 4.7 earthquake - S. Chile-Argentina Border Region on Thursday, 11 February 2021 at 14:01 (GMT) https://t.co/JP8hnXldwG"
ENSO1998,SE PA  USA,2021-02-11 15:52:15,,Earthquake reported few minutes ago in or near Chile https://t.co/9ptgYTArnO
VolcanoEWS,Mars,2021-02-11 15:46:01,,New Earthquake 5.31 km of Cerro Tultul - Argentina - 3.20m/195km - 11/02/2021 15:46:00 UTC (NSNA/Automatic) #eqvyt_2166 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 15:45:50,,#Earthquake (#sismo) M3.2 strikes 79 km W of San Antonio de los Cobres (#Argentina) 8 min ago. More info: https://t.co/dlA4eNJKct
EQAlerts,,2021-02-11 15:44:11,,"#Earthquake M3.2 SALTA (Argentina) 6mins ago 11 Feb 15:38 UTC - report/info: 
https://t.co/SAe9CzK8Ks"
VolcanoEWS,Mars,2021-02-11 14:36:03,,New Earthquake 3.01 km of Cerro Caucharí - Argentina - 3.30m/206km - 11/02/2021 14:36:02 UTC (NSNA/Automatic) #eqvyt_2154 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 14:35:50,,#Earthquake (#sismo) M3.3 strikes 57 km W of San Antonio de los Cobres (#Argentina) 7 min ago. More info: https://t.co/TjrZ1esj3U
EQAlerts,,2021-02-11 14:34:09,,"#Earthquake M3.3 JUJUY (Argentina) 6mins ago 11 Feb 14:28 UTC - report/info: 
https://t.co/TjMTDGOgRV"
quakenotices,California,2021-02-11 14:19:06,,#earthquake  2021-02-11 14:01:27 (M4.6) southern Chile-Argentina border region -39.8 -72.0 (1cbfb) https://t.co/1N0GbQ8qvO
elluchin1,,2021-02-11 14:10:25,,"🇨🇱➡#UltimaHora
➡SENTIDO🔴#Sismo 
INTENSIDAD 4.0⚡ 
⏱11:02 Pm🌇  Mañana Chilena
R de #LosRios #Chile 🇨🇱Limite #Argentina 🇦🇷
#FelizJueves #Temblor
#Earthquake https://t.co/ci04E2yO9Z"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2021-02-11 14:08:07,,"A M4.7 earthquake has been reported by the GEOFON for M 4.7, S. Chile-Argentina Border Region. Link: https://t.co/ia2HaVFegl"
EQAlerts,,2021-02-11 14:07:08,,"#Earthquake M4.8 S. Chile-Argentina Border Region 6mins ago 11 Feb 14:01 UTC - report/info: 
https://t.co/UAgAuRIeqt"
WatchOurCity,California,2021-02-11 11:12:20,,"M4.1 Earthquake - Chile-Argentina border region

Preliminary Report

Magnitude4.1
Date-Time10 Feb 2021  22:09:42 UTC10 Feb 2021  19:09:42 near epicenter10 Feb 2021  14:09:42 standard time in your timezone
Location24.170S,  67.149W
Depth207 km
Distances84.

https://t.co/DiumZw1shh"
WatchOurCity,California,2021-02-11 11:11:16,,(USGS) Earthquake: Magnitude 4.1 – Chile-Argentina border region https://t.co/H8KNzBQWj6 #Earthquakes #HumahuacaArgentina #Palpalï¿½Argentina #SaltaArgentina
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 08:25:18,,#Earthquake (#sismo) M3.1 strikes 124 km W of Abra Pampa (#Argentina) 45 min ago. More info: https://t.co/QRzxL8FkYU
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 06:38:59,,#Earthquake (#sismo) M2.6 strikes 105 km NW of San Antonio de los Cobres (#Argentina) 1hr 16min ago. More info: https://t.co/QUvgUG1vbF
VolcanoEWS,Mars,2021-02-11 06:05:54,,New Earthquake 0.49 km of Cordón del Infiernillo - Argentina - 3.00m/10km - 11/02/2021 06:05:53 UTC (NSNA/Automatic) #eqvyt_2062 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 06:05:47,,#Earthquake (#sismo) M3.0 strikes 24 km SW of #Pocito (#Argentina) 7 min ago. More info: https://t.co/Jf4VkYRwtu
GlobalEarthqua1,,2021-02-11 03:59:59,,"An earthquake is expected in     SALTA, ARGENTINA

Magnitude M L 5.2
Region  SALTA, ARGENTINA
Date time  2021-02-11 18:24:35.0 UTC
Location  24.20 S ; 67.44 W
Depth  206 km
Distances615 km S of Sucre, Bolivia, Plurinational State of 
216 km W of Salta, Argentina https://t.co/7550tIrj27"
AndyVermaut,"Diksmuide, België",2021-02-11 03:32:02,,"Light earthquake, 4.1 mag strikes near San Antonio de los Cobres in Argentina https://t.co/9TCMrvM7JQ"
quakenotices,California,2021-02-11 02:49:06,,#earthquake  2021-02-10 22:09:41 (M4.1) Chile-Argentina border region -24.2 -67.1 (1cbfb) https://t.co/lmQWhfMe6Z
