user,location,date,coordinates,content
ShakingEarth,World,2021-01-31 10:22:02,,"Earthquake ! mb 5.1 SALTA, ARGENTINA https://t.co/1vhfOEUegP"
grum10,Edinburgh Scotland,2021-01-31 08:11:48,,"4 hrs ago #earthquake 4.7 has hit Departamento de Los Andes (A), Argentina, 175.0km, 03:59 GMT (GEOFON) https://t.co/CUD8McdhdO https://t.co/4fugwszxRi"
earthquakeinfo,,2021-01-31 08:09:02,,"Earthquake - M 5.1 - 63 km W of San Antonio de los Cobres, Argentina https://t.co/sGVLg4v4Mm"
nao_book,🇯🇵,2021-01-31 06:20:38,,"M5.1 63 km W of San Antonio de los Cobres, Argentina, 震源は 24.23°S 66.94°W 深さは 169km, https://t.co/YlG4L9QywT https://t.co/02BCaix6Ph"
qldstorms,South East Queensland,2021-01-31 05:43:21,,"Earthquake: Magnitude 5.0, Salta Province, Argentina https://t.co/3fwtFRP0ko"
ENSO1998,SE PA  USA,2021-01-31 05:35:10,,"Moderate mag. 5.1 earthquake - Chile-Argentina Border Region on Sunday, 31 January 2021 at 03:59 (GMT) https://t.co/mCIkQJn0l4"
ENSO1998,SE PA  USA,2021-01-31 05:35:06,,"Moderate yet deep earthquake of magnitude 5.1 just reported 71 km west of San Antonio de los Cobres, Argentina https://t.co/mLm0sSYcBR https://t.co/t4teR5nNKN"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2021-01-31 04:45:07,,"A M5.0 earthquake has been reported by the AGGA for Salta Province, Argentina. Link: https://t.co/qNUcFe56TS"
from___japan,With everyone,2021-01-31 04:44:11,,"【#USGS #Breaking】#earthquake M 5.1 - 63 km W of San Antonio de los Cobres, Argentina

Time

2021-01-31 03:59:26 UTC

2021-01-31 03:59:26 UTC at epicenter

Location

24.229°S 66.940°W

Depth

168.65 km (104.79 mi)

https://t.co/ax0qIImxUY #alert #tsunami #prayfromjapan https://t.co/whz8ep0suA"
GDACS,Global monitoring,2021-01-31 04:43:51,,"Green #earthquake alert (5.1M,depth:168.65km) in #Argentina 31 Jan 2021 03:59 UTC,Pop100km:10000 - https://t.co/lUEr58XyLn - #GDACSFeedback"
TehuantepecGAP,"🇲🇽 Tuxtla Gutiérrez, CHIS.",2021-01-31 04:35:18,,"mb 5.1  SALTA, ARGENTINA https://t.co/rWYvBGjVl9"
TodoTiempo,San Juan PR,2021-01-31 04:34:03,,"Temblor -  M 5.1 - 63 km W of San Antonio de los Cobres, Argentina https://t.co/g4Q5jm6QS9 #Earthquake #Temblor"
TehuantepecGAP,"🇲🇽 Tuxtla Gutiérrez, CHIS.",2021-01-31 04:31:13,,"M 5.1 - 63 km W of San Antonio de los Cobres, Argentina https://t.co/d3sWbR5dhH"
TARS_Server,Fuerteventura,2021-01-31 04:30:04,,"⚠️ Registrado terremoto:

- M 5.1 - 63 km W of San Antonio de los Cobres, Argentina.
- Enlace: https://t.co/LA4wp5p6VA

#earthquake #homeassistant #nodered"
WatchOurCity,California,2021-01-31 04:27:05,,"# # # # #

https://t.co/PGZu5tS9NR"
WatchOurCity,California,2021-01-31 04:26:06,,"5.1 magnitude earthquake 63 km W of San Antonio de los Cobres, Argentina https://t.co/50NKWP5nak"
earthquakevt,Milky Way. ,2021-01-31 04:25:14,,"⚠️#Argentina🇦🇷: Un sismo moderado de magnitud mb=5.1, se registró a 63 KM al W de #SanAntonioDeLosCobres, provincia de #Salta. Profundidad: 168,7 KM.
Más info: https://t.co/q8TBU4g1kz
¿Sintió este sismo?, ¡cuéntanos!.
#EQVT,#earthquake,#tremor,#seísmo,#sismo,#temblor,#terremoto. https://t.co/p424KlFQEG"
quakenotices,California,2021-01-31 04:25:07,,"#earthquake  2021-01-31 03:59:26 (M5.1) Salta, Argentina -24.2 -66.9 (1cbfb) https://t.co/2PSk3B6xhY"
cvb_223,Japan Nationwide,2021-01-31 04:25:03,,"M 5.1 - 63 km W of San Antonio de los Cobres, Argentina
https://t.co/h1LdkIibFo

#Earthquake
#EarthquakeEarlyWarning
#EEWSH
#地震速報共有ハッシュタグ"
Billy_EQ,"México,City",2021-01-31 04:23:32,,"M 5.1 - 63 km W of San Antonio de los Cobres, Argentina #earthquake #USGS #Sismo https://t.co/Ss2FBtseUk"
