created_at,created_at_date,text
2021-03-12 21:16:06+00:00,2021-03-12,Great reporting on the tragedy of #TexasFreeze #TexasWinterStorm2021 #WinterStormUri https://t.co/jEijybBmp5
2021-03-12 19:45:41+00:00,2021-03-12,RT @DavidSFOX4: An 18-year old black man — Rodney Reese — was walking home from work at @Walmart during #TexasFreeze when @PlanoPoliceDept…
2021-03-12 19:18:09+00:00,2021-03-12,"RT @DavidSFOX4: Rodney Reese — an 18-year old black man — was arrested for walking in the street during the #TexasFreeze, last week. He had…"
2021-03-12 17:56:38+00:00,2021-03-12,"RT @electmikeingram: So @tedcruz is signing books that aren't canceled &amp; that he didn't write, to raise campaign money while #Texas still r…"
2021-03-12 17:46:57+00:00,2021-03-12,"Texas put up a no mask mandate, can they even do that over the nations wide mask mandate? 

And as you can see most… https://t.co/A0cLUn7Imi"
2021-03-12 17:35:23+00:00,2021-03-12,"RT @ChrystaForTexas: Who got rich and who got ruined? That's our roadmap to fix the debacle. #followthemoney #TexasBlackout 
As Texans went…"
2021-03-12 17:20:34+00:00,2021-03-12,"So @tedcruz is signing books that aren't canceled &amp; that he didn't write, to raise campaign money while #Texas stil… https://t.co/wxkRzP2Aa9"
2021-03-12 17:13:47+00:00,2021-03-12,RT @joshdr83: You could even reprice the gas at something like $30 (which would still be ~10x what the gas industry normally gets) and you…
2021-03-12 13:10:57+00:00,2021-03-12,RT @ChrystaForTexas: C'mon @JimWright4Texas you can do better. Texans died because the @txrrc failed to do its job. #TexasFreeze
2021-03-12 12:17:37+00:00,2021-03-12,Check out this video from our Texas Winter storm. I made it in the video. #YouTuber #StimulusChecks #superstraight… https://t.co/w318VigQtK
2021-03-12 03:58:41+00:00,2021-03-12,This tweet explaining the #texasblackout is sheer perfection #energytwitter #texaspoweroutage https://t.co/yjDIrNdugm
2021-03-11 22:59:59+00:00,2021-03-11,@LynnJurich love @Sunrun ... yalls panels along with @Tesla battery kept my home pretty warm during #TexasFreeze
2021-03-11 22:58:34+00:00,2021-03-11,@getongab @GovAbbott @PhilKingTX @GoldmanCraig @GregAbbott_TX @RyanMcCubbinTX at least he got that trophy for wind… https://t.co/fFqsvjMUGl
2021-03-11 18:34:47+00:00,2021-03-11,You could even reprice the gas at something like $30 (which would still be ~10x what the gas industry normally gets… https://t.co/xHZHse4L5k
2021-03-11 15:34:29+00:00,2021-03-11,Texas PUC chair still in front of House State Affairs while committee drills down on real pricing issue - natural g… https://t.co/W4LCoUAtWS
2021-03-11 15:08:22+00:00,2021-03-11,"State Affairs: Hunter - Had three hearings and can’t get accurate answers. Things keep changing, we went from $16 b… https://t.co/VbQ0AUtJ27"
2021-03-11 15:00:24+00:00,2021-03-11,PUC Chair testifies that he disagrees with letter sent by Senators regarding pricing. Says that LCRA indicated that… https://t.co/PpJNLnXFJJ
2021-03-11 14:56:21+00:00,2021-03-11,PUC chair D’Andrea getting grilled about pricing in House State Affairs this morning. Rep. Raymond pointing out tha… https://t.co/DSAWbUVbM9
2021-03-11 08:31:51+00:00,2021-03-11,I want my apartment back. I want to be able to cook food. I want my washer/dryer back. I want to be able to use my… https://t.co/RFlLsULZTL
2021-03-10 16:23:13+00:00,2021-03-10,The Springs during the Snowstorm. #TexasSnow @ The Meadows Center for Water and the Environment https://t.co/eWgupGG3fY
2021-03-10 15:23:41+00:00,2021-03-10,"@GregAbbott_TX 

Have you and the legislature passed the law to winterize electric equipment yet? You fired people.… https://t.co/hK2mHsZHO8"
2021-03-10 15:20:07+00:00,2021-03-10,RT @ChrystaForTexas: My opinion on #TexasFreeze: We are destined to fail again unless #txlege forms a new agency to oversee Texans' current…
2021-03-10 14:06:43+00:00,2021-03-10,"RT @TinaT_TX: Texans, freezing and gasping for air in their homes during last month’s outages. The physical and emotional trauma is overwhe…"
2021-03-10 05:56:00+00:00,2021-03-10,"Feb 2021 Austin TX trip with my cute Charlotte bartender

#TB #throwbavk #ATX #texasblizzard2021 @ 6th Street, Aust… https://t.co/tskpsMMnr8"
2021-03-10 04:36:06+00:00,2021-03-10,RT @tweedyboy57: These Mother'Fers are seriously CRAZY #GOPKills #COVID19 #CapitolRiots #TexasBlackout @ArkansasOnline
2021-03-10 04:31:03+00:00,2021-03-10,These Mother'Fers are seriously CRAZY #GOPKills #COVID19 #CapitolRiots #TexasBlackout @ArkansasOnline https://t.co/TUy8HlEHx2
2021-03-10 03:27:43+00:00,2021-03-10,"RT @xochavella: Ill keep u warm 
https://t.co/Z0DBedM0SL 

#TexasBlackout #TexasFreeze #texassnow #of #AdultWork #onlyfans https://t.co/yBw…"
2021-03-10 02:53:45+00:00,2021-03-10,"Hey Texas, share so people in Texas can get help with the outrages light bills. If you haven't heard the utility co… https://t.co/tFyGlfztvQ"
2021-03-10 02:29:12+00:00,2021-03-10,@EthanBearman Since we lost our water heater in the big #TexasFreeze last month (we went without power/heat for 3 d… https://t.co/xLQLovgn1W
2021-03-09 23:54:45+00:00,2021-03-09,"RT @ExposeMagnolia: Umm, #Texas are you ok? It looks like there is going to be another #TexasFreeze coming! 🥶 https://t.co/StvB99FP58"
2021-03-09 23:25:06+00:00,2021-03-09,"Hey, @maddow...
What's going on with the Texas Public Utility Commission and #ERCOT after the deadly #TexasBlackout ??"
2021-03-09 21:26:37+00:00,2021-03-09,RT @MakeSafeTech: All donations made in the month of March to Safe Tech will go towards helping local families affected by the winter storm…
2021-03-09 21:24:06+00:00,2021-03-09,All donations made in the month of March to Safe Tech will go towards helping local families affected by the winter… https://t.co/Hxs66AUceq
2021-03-09 18:55:56+00:00,2021-03-09,Man I feel the love #TikTok #TexasFreeze https://t.co/efxEQ8lKyv
2021-03-09 17:26:43+00:00,2021-03-09,"Texans, freezing and gasping for air in their homes during last month’s outages. The physical and emotional trauma… https://t.co/EdhhYx99up"
2021-03-09 14:38:45+00:00,2021-03-09,RT @MayaSharona: “What happened to these customers in Texas was an utter lack of regulatory oversight and basic consumer protections by the…
2021-03-09 14:37:01+00:00,2021-03-09,"RT @ExposeMagnolia: In a world that made sense, this would be real part 1 #TexasFreeze #Texas #Trump #CPAC2021 #AbbottFailedTexasAgain #COV…"
2021-03-09 04:32:16+00:00,2021-03-09,"I’m not sure who cares to know, BUT I HAVE HOT WATER AGAIN!! 🔥🔥🔥

I haven’t had hot water since February 15th!! #TexasFreeze"
2021-03-09 04:11:10+00:00,2021-03-09,#texassnowstorm #texaspoweroutage #birds #nikonphotography https://t.co/gVfDEaHfwd
2021-03-09 03:37:45+00:00,2021-03-09,“What happened to these customers in Texas was an utter lack of regulatory oversight and basic consumer protections… https://t.co/dpvOOWiR14
2021-03-09 03:02:49+00:00,2021-03-09,"RT @DominicGBrown: #TexasBlackout saga is going to be worse than the #COVID19Pandemic

The Public Utility Commission of #Texas said it will…"
