,sentence,label,svm,lr,gan,cnn,majority
0,SANTIAGO – Authorities in Chile said on Saturday they regretted spreading panic with a mistaken tsunami warning calling for people to get out of coastal areas following an earthquake in Antarctica.,building,building,building,Infrastructure,Resilience,building
1,The interior ministry said on Twitter that a tremor of magnitude 7.1 struck at 8.36 p.m. 216 km northeast of the O’Higgins Chilean scientific base and called for the coastal regions of Antarctica to be evacuated because of a tsunami risk.,building,building,building,Resilience,Resilience,building
2,"The ministry also sent a message to cellphones around the country urging people to abandon coastal areas, though the ministry later said it was sent in error.",building,infrastructure,infrastructure,Infrastructure,Resilience,infrastructure
3,"“We want to provide peace of mind to the population, tell them that it is not necessary to evacuate the entire national territory, only the Antarctic base,” Miguel Ortiz of the ministry’s National Emergency Office (ONEMI) told a news conference.",building,resilience,resilience,Infrastructure,Resilience,resilience
4,"He said the agency regretted the inconvenience caused by its messages, which he blamed on a technical error.",building,infrastructure,infrastructure,Infrastructure,Building,infrastructure
5,The tsunami warning for Antarctica was later lifted.,building,infrastructure,infrastructure,Infrastructure,Resilience,infrastructure
6,"People in coastal cities including La Serena, to the north of Santiago, and Valparaiso, started to leave areas close to the coast after the warning until reports started appearing that it was a false alarm.",building,resilience,resilience,Infrastructure,Resilience,resilience
7,"But as Chileans were reacting to the warning, a second tremor, of magnitude 5.6, struck the Chile-Argentina border region, at 9.07 p.m., the GFZ German Research Center for Geosciences said, at a depth of 133 km and 30km east of Santiago.",building,resilience,resilience,Infrastructure,Building,resilience
8,No damage was reported from either quake.,building,infrastructure,building,Infrastructure,Building,building
9,The second one was close to Codelco’s Andina and Teniente copper mines and Anglo American PLC’s Los Bronces.,building,building,building,Infrastructure,Building,building
10,"The Chilean mining regulator Sernageomin said that workers, mining operations and facilities had reported no problems after the quake.",building,infrastructure,resilience,Resilience,Resilience,resilience
11,"Sernageomin said that following the first quake, 80 people were evacuated from Chile’s main base in the Antarctic, the Presidente Eduardo Frei Montalva Base on Fildes Peninsula west of King George Island, and 55 more from three other bases, along with five foreign bases.",building,building,building,Resilience,Resilience,building
12,The army said no damage was reported at the Antarctic base.,building,building,building,Infrastructure,Building,building
13,"In a time of both misinformation and too much information, quality journalism is more crucial than ever.By subscribing, you can help us get the story right.",building,building,building,Building,Resilience,building
14,"
									WE League chair 'grateful' for Yoshiro Mori's sexist remarks",building,building,building,Infrastructure,Building,building
15,"
									As Lunar New Year arrives, COVID-19 pushes Chinatown businesses to the brink",building,building,building,Infrastructure,Building,building
16,"
									Electric keyboard pioneer Chick Corea dies of cancer at 79",building,building,building,Infrastructure,Building,building
17,Dating in Japan requires short set phrases to spark the fire,building,infrastructure,building,Infrastructure,Resilience,infrastructure
18,"
									Tokyo Olympics chief Mori's exit has been long overdue",building,building,building,Infrastructure,Building,building
19,"
				DEEP DIVE",building,building,building,Infrastructure,Building,building
20,"
				Episode 81: Chocolate in Japan — from Paris to the Ogasawara Islands",building,infrastructure,building,Infrastructure,Resilience,infrastructure
21,"
				LAST UPDATED: Feb 10, 2021",building,resilience,resilience,Infrastructure,Building,resilience
22,"
				Directory of who’s who in the world of business in Japan",building,infrastructure,infrastructure,Infrastructure,Resilience,infrastructure
23,"
				LAST UPDATED: Jun 8, 2020",building,infrastructure,infrastructure,Infrastructure,Resilience,infrastructure
24,Sponsored contents planned and edited by JT Media Enterprise Division.,building,building,building,Infrastructure,Resilience,building
25,"
Read more",building,building,building,Infrastructure,Building,building
26,The Japan Times LTD. All rights reserved.,building,building,building,Infrastructure,Building,building
27,Get the first two months of your subscription FREE,building,building,building,Infrastructure,Resilience,building
28,Offer ends Sept. 30.,building,building,building,Infrastructure,Building,building
29,Discover Thomson Reuters,building,building,building,Infrastructure,Building,building
30,By Reuters Staff,building,building,building,Infrastructure,Building,building
31,2 Min Read,building,resilience,building,Infrastructure,Building,building
32,"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",building,resilience,resilience,Infrastructure,Resilience,resilience
33,"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",building,resilience,resilience,Infrastructure,Building,resilience
34,"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",building,infrastructure,building,Infrastructure,Resilience,infrastructure
35,"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",building,building,building,Building,Resilience,building
36,San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,building,resilience,resilience,Infrastructure,Resilience,resilience
37,"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911.",building,infrastructure,infrastructure,Infrastructure,Resilience,infrastructure
38,"No tsunami warning was issued, the U.S. Tsunami Warning System said.",building,infrastructure,infrastructure,Infrastructure,Resilience,infrastructure
39,Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam,building,building,building,Infrastructure,Building,building
40,Our Standards: The Thomson Reuters Trust Principles.,building,building,building,Infrastructure,Building,building
41,Trending Stories,building,building,building,Infrastructure,Resilience,building
42,All quotes delayed a minimum of 15 minutes.,building,building,building,Infrastructure,Resilience,building
43,See here for a complete list of exchanges and delays.,building,resilience,resilience,Infrastructure,Building,resilience
