,sentence,label,svm,lr,gan,cnn,majority
0,"
                    It looks like you're using an ad blocker.",building,infrastructure,infrastructure,Infrastructure,Building,infrastructure
1,"
                    To enjoy our content, please include The Japan Times on your ad-blocker's list of approved sites.",building,building,building,Resilience,Building,building
2,"
                    Thank you for supporting our journalism.",building,other,building,Resilience,Building,building
3,Discover Thomson Reuters,building,other,other,Resilience,Other,other
4,By Reuters Staff,building,other,building,Building,Other,building
5,2 Min Read,building,other,other,Building,Other,other
6,"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",building,resilience,resilience,Other,Building,resilience
7,"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",building,resilience,resilience,Other,Building,resilience
8,"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",building,infrastructure,infrastructure,Resilience,Other,infrastructure
9,"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",building,building,building,Resilience,Other,building
10,San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,building,resilience,building,Building,Building,building
11,"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911.",building,infrastructure,infrastructure,Resilience,Building,infrastructure
12,"No tsunami warning was issued, the U.S. Tsunami Warning System said.",building,infrastructure,infrastructure,Building,Other,infrastructure
13,Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam,building,other,other,Other,Building,other
14,Our Standards: The Thomson Reuters Trust Principles.,building,other,other,Other,Building,other
15,Trending Stories,building,building,building,Resilience,Building,building
16,All quotes delayed a minimum of 15 minutes.,building,building,building,Other,Building,building
17,See here for a complete list of exchanges and delays.,building,other,other,Resilience,Building,other
18,Discover Thomson Reuters,building,other,other,Resilience,Other,other
19,By Reuters Staff,building,other,building,Building,Other,building
20,2 Min Read,building,other,other,Building,Other,other
21,"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",building,resilience,resilience,Other,Building,resilience
22,"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",building,resilience,resilience,Other,Building,resilience
23,"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",building,infrastructure,infrastructure,Resilience,Other,infrastructure
24,"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",building,building,building,Resilience,Other,building
25,San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,building,resilience,building,Building,Building,building
