sentence,label
The interior ministry said on Twitter that a tremor of magnitude 7.1 struck at 8.36 p.m. 216 km northeast of the O’Higgins Chilean scientific base and called for the coastal regions of Antarctica to be evacuated because of a tsunami risk.,Resilience
"The ministry also sent a message to cellphones around the country urging people to abandon coastal areas, though the ministry later said it was sent in error.",Resilience
The interior ministry said on Twitter that a tremor of magnitude 7.1 struck at 8.36 p.m. 216 km northeast of the O’Higgins Chilean scientific base and called for the coastal regions of Antarctica to be evacuated because of a tsunami risk.,Resilience
"The ministry also sent a message to cellphones around the country urging people to abandon coastal areas, though the ministry later said it was sent in error.",Building
The interior ministry said on Twitter that a tremor of magnitude 7.1 struck at 8.36 p.m. 216 km northeast of the O’Higgins Chilean scientific base and called for the coastal regions of Antarctica to be evacuated because of a tsunami risk.,Resilience
"The ministry also sent a message to cellphones around the country urging people to abandon coastal areas, though the ministry later said it was sent in error.",Other
"“We want to provide peace of mind to the population, tell them that it is not necessary to evacuate the entire national territory, only the Antarctic base,” Miguel Ortiz of the ministry’s National Emergency Office (ONEMI) told a news conference.",Other
"He said the agency regretted the inconvenience caused by its messages, which he blamed on a technical error.",Resilience
The tsunami warning for Antarctica was later lifted.,Building
"People in coastal cities including La Serena, to the north of Santiago, and Valparaiso, started to leave areas close to the coast after the warning until reports started appearing that it was a false alarm.",Building
"But as Chileans were reacting to the warning, a second tremor, of magnitude 5.6, struck the Chile-Argentina border region, at 9.07 p.m., the GFZ German Research Center for Geosciences said, at a depth of 133 km and 30km east of Santiago.",Building
No damage was reported from either quake.,Other
The second one was close to Codelco’s Andina and Teniente copper mines and Anglo American PLC’s Los Bronces.,Resilience
"The Chilean mining regulator Sernageomin said that workers, mining operations and facilities had reported no problems after the quake.",Resilience
"Sernageomin said that following the first quake, 80 people were evacuated from Chile’s main base in the Antarctic, the Presidente Eduardo Frei Montalva Base on Fildes Peninsula west of King George Island, and 55 more from three other bases, along with five foreign bases.",Resilience
The army said no damage was reported at the Antarctic base.,Resilience
"In a time of both misinformation and too much information, quality journalism is more crucial than ever.By subscribing, you can help us get the story right.",Building
"
									WE League chair 'grateful' for Yoshiro Mori's sexist remarks",Resilience
"
									As Lunar New Year arrives, COVID-19 pushes Chinatown businesses to the brink",Resilience
"
									Electric keyboard pioneer Chick Corea dies of cancer at 79",Resilience
"
									Confess!",Other
Dating in Japan requires short set phrases to spark the fire,Building
"
									Tokyo Olympics chief Mori's exit has been long overdue",Other
"
				DEEP DIVE",Resilience
"
				Episode 81: Chocolate in Japan — from Paris to the Ogasawara Islands",Resilience
"
				LAST UPDATED: Feb 10, 2021",Other
"
				Directory of who’s who in the world of business in Japan",Other
"
				LAST UPDATED: Jun 8, 2020",Other
Sponsored contents planned and edited by JT Media Enterprise Division.,Building
The interior ministry said on Twitter that a tremor of magnitude 7.1 struck at 8.36 p.m. 216 km northeast of the O’Higgins Chilean scientific base and called for the coastal regions of Antarctica to be evacuated because of a tsunami risk.,Other
"The ministry also sent a message to cellphones around the country urging people to abandon coastal areas, though the ministry later said it was sent in error.",Resilience
The Japan Times LTD. All rights reserved.,Infrastructure
Get the first two months of your subscription FREE,Resilience
Offer ends Sept. 30.,Resilience
Discover Thomson Reuters,Other
What if you were though.,Other
By Reuters Staff,Other
2 Min Read,Building
"(Reuters) - An earthquake of magnitude 6.8 struck west-central Argentina on Monday, followed by at least five aftershocks that shook buildings and sent products tumbling off supermarket shelves, but there were no immediate reports of injuries.",Other
"The quake hit at a depth of 10 km (6 miles), the German Research Center for Geosciences (GFZ) said, with its epicentre located 40 km (25 miles) south of the province of San Juan.",Resilience
"The aftershocks ranged in magnitude from 3.5 to 5, the European Mediterranean Seismological Centre (EMSC) said.",Resilience
"Posts on social media showed many homes and buildings shaking, with the seismic activity leaving cracks in roads, while glass bottles fell off the shelves in shops.",Resilience
San Juan Governor Sergio Uñac urged people to remain calm following the earthquake and called on them to reach out in case they need any assistance.,Resilience
"""Let us put into practice all the measures we have learned to prevent incidents, while we are committed to knowing the impact of the (earthquake) to collaborate in everything necessary,"" he said bit.ly/3qyOf4a in a tweet, advising those who suffered damage or in need of assistance to call the emergency number 911.",Other
"No tsunami warning was issued, the U.S. Tsunami Warning System said.",Resilience
Reporting by Bhargav Acharya in Bengaluru; Editing by Himani Sarkar and Clarence Fernandez & Shri Navaratnam,Building
Our Standards: The Thomson Reuters Trust Principles.,Resilience
Trending Stories,Building
All quotes delayed a minimum of 15 minutes.,Building
See here for a complete list of exchanges and delays.,Building
It's the Republicans turn to defend Trump at impeachment trial,Building
